         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000  990.589  495.294 X:\Anaconda\envs\marl_cav\lib\site-packages\IPython\core\interactiveshell.py:2848(run_code)
     31/2    0.003    0.000  990.588  495.294 {built-in method builtins.exec}
        1    0.009    0.009  990.588  990.588 <ipython-input-2-60ff2ee6e95e>:5(<module>)
        1    3.100    3.100  990.576  990.576 <ipython-input-1-9f27055c2193>:71(train)
    22424    0.798    0.000  737.757    0.033 ..\highway_env\envs\highway_env_v1.py:142(step)
    22424    0.593    0.000  727.976    0.032 ..\highway_env\envs\common\abstract.py:239(step)
       25    0.443    0.018  665.671   26.627 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:105(interact)
    22702    0.095    0.000  514.572    0.023 ..\highway_env\envs\common\observation.py:419(observe)
    90808    0.520    0.000  514.477    0.006 ..\highway_env\envs\common\observation.py:420(<genexpr>)
    68106    4.256    0.000  513.957    0.008 ..\highway_env\envs\common\observation.py:189(observe)
    22424    0.508    0.000  204.907    0.009 ..\highway_env\envs\common\abstract.py:307(_simulate)
       25    0.135    0.005  201.039    8.042 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:451(evaluation)
   135880    1.055    0.000  160.357    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:1660(from_records)
   135880    0.593    0.000  123.581    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\frame.py:7614(append)
   135880    0.563    0.000  122.632    0.001 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\reshape\concat.py:70(concat)
2847990/570198   12.670    0.000  121.846    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\module.py:715(_call_impl)
   569448    4.010    0.000  118.435    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\container.py:115(forward)
