         985027882 function calls (967092260 primitive calls) in 990.551 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 96814375   41.292    0.000   41.499    0.000 {built-in method builtins.getattr}
141502743/141500949   37.534    0.000   82.566    0.000 {built-in method builtins.isinstance}
   759264   31.433    0.000   31.433    0.000 {built-in method addmm}
     9975   22.979    0.002   22.979    0.002 {built-in method pygame.pixelcopy.surface_to_array}
21665141/14680587   21.242    0.000  100.898    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1070124   21.068    0.000   21.068    0.000 {built-in method relu}
       25   20.675    0.827  113.486    4.539 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:216(train)
  5148264   20.156    0.000   20.156    0.000 ..\highway_env\road\lane.py:155(position)
 15430012   19.111    0.000   19.111    0.000 {built-in method numpy.array}
 61464572   14.965    0.000   40.772    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
   379632   13.471    0.000   13.471    0.000 {method 'matmul' of 'torch._C._TensorBase' objects}
2847990/570198   12.670    0.000  121.846    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\module.py:715(_call_impl)
   815280   11.768    0.000   16.439    0.000 {pandas._libs.lib.maybe_convert_objects}
   408636   11.712    0.000   20.974    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1052(iset)
  4210880   11.156    0.000   31.083    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:72(_clip_dep_is_scalar_nan)
    39900   11.128    0.000   55.135    0.001 ..\highway_env\road\graphics.py:186(draw_stripes)
  1138896   10.869    0.000   70.890    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\functional.py:1669(linear)
  2609768   10.705    0.000   20.684    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\linalg\linalg.py:2363(norm)
       25   10.211    0.408   10.211    0.408 {built-in method pygame.base.init}
 18607049    9.960    0.000    9.960    0.000 {built-in method builtins.hasattr}
  1138896    9.860    0.000    9.860    0.000 {method 't' of 'torch._C._TensorBase' objects}
45710577/37411614    9.742    0.000   12.710    0.000 {built-in method builtins.len}
  2105440    8.846    0.000    8.846    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_methods.py:87(_clip_dep_invoke_with_casting)
 13255900    8.653    0.000    8.653    0.000 ..\highway_env\road\graphics.py:38(pix)
  3758872    8.494    0.000   21.214    0.000 ..\highway_env\road\lane.py:164(local_coordinates)
       25    7.716    0.309    7.716    0.309 {built-in method pygame.base.quit}
  9178706    7.547    0.000   22.488    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
 12780688    7.225    0.000   48.545    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
  9178706    6.593    0.000    9.736    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\base.py:413(find)
  1903648    6.279    0.000   56.188    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:2677(get_block_type)
   121044    6.131    0.000   83.571    0.001 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\single_agent\Model_common.py:152(__call__)
37099776/37098275    6.101    0.000    6.108    0.000 {built-in method builtins.issubclass}
11777622/11777618    6.064    0.000   15.708    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
