         633662181 function calls (624021167 primitive calls) in 545.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13   30.104    2.316  114.591    8.815 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\MaPPO.py:216(train)
 72136737   28.798    0.000   28.961    0.000 {built-in method builtins.getattr}
108635774/108633824   26.862    0.000   59.343    0.000 {built-in method builtins.isinstance}
   521260   19.683    0.000   19.683    0.000 {built-in method addmm}
   763525   13.667    0.000   13.667    0.000 {built-in method tanh}
 48102717   11.305    0.000   30.548    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\generic.py:10(_check)
  9004768    9.320    0.000    9.320    0.000 {built-in method numpy.array}
1955375/391595    8.422    0.000   76.797    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\modules\module.py:715(_call_impl)
   260630    8.089    0.000    8.089    0.000 {method 'matmul' of 'torch._C._TensorBase' objects}
8399268/6178150    8.082    0.000   28.992    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   635724    7.984    0.000   11.119    0.000 {pandas._libs.lib.maybe_convert_objects}
   781890    6.984    0.000   44.685    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\torch\nn\functional.py:1669(linear)
   111950    6.971    0.000   74.867    0.001 p:\学校相关\比赛、项目及其他\2022交科校赛\MARL_CAVs\MARL_CAVs-main\MARL\single_agent\Model_common.py:152(__call__)
   781890    6.409    0.000    6.409    0.000 {method 't' of 'torch._C._TensorBase' objects}
   211896    6.091    0.000   10.894    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\managers.py:1052(iset)
27734361/22277813    5.609    0.000    7.470    0.000 {built-in method builtins.len}
  7047681    5.487    0.000   16.725    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\common.py:1460(is_extension_array_dtype)
  1471011    5.279    0.000    7.566    0.000 ..\highway_env\vehicle\kinematics.py:207(direction)
 12433315    4.969    0.000    4.969    0.000 {built-in method builtins.hasattr}
  7047681    4.926    0.000    7.241    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\base.py:413(find)
 29513784    4.800    0.000    4.800    0.000 {built-in method builtins.issubclass}
   847584    4.786    0.000   58.730    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\series.py:201(__init__)
  8493999    4.587    0.000   30.552    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\base.py:256(is_dtype)
  2172039    4.557    0.000   13.557    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
  1483332    4.531    0.000   41.603    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\internals\blocks.py:2677(get_block_type)
353184/176592    4.268    0.000   28.379    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\indexes\base.py:293(__new__)
  1200780    4.242    0.000   38.265    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\construction.py:390(sanitize_array)
  1178723    4.088    0.000    8.174    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\numpy\linalg\linalg.py:2363(norm)
  6442703    3.891    0.000    8.549    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
  1297784    3.551    0.000    3.551    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2083662    3.551    0.000    7.331    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\generic.py:5143(__setattr__)
  1200780    3.460    0.000   12.383    0.000 X:\Anaconda\envs\marl_cav\lib\site-packages\pandas\core\dtypes\cast.py:1187(maybe_castable)
